Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum
TTC21B,0.0,14.0,0.0,5.0,6.0,2.0,0.0,0.0,23.0,216.0,15.0,0.0,0.0,42.0,9.0,0.0,6.0,3.0,0.0,323.0,0.0,259
TTC22,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,49.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,83
TTC23,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,53.0,11.0,0.0,0.0,28.0,3.0,1.0,3.0,1.0,0.0,120.0,0.0,102
TTC23L,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,58.0,12.0,0.0,0.0,32.0,3.0,0.0,1.0,1.0,0.0,111.0,0.0,90
TTC24,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,4.0,0.0,0.0,32.0,3.0,0.0,0.0,2.0,0.0,105.0,0.0,94
TTC25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,98.0,0.0,2.0,0.0,0.0,1.0,0.0,102.0,0.0,89
TTC26,0.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,83.0,4.0,0.0,0.0,25.0,4.0,0.0,4.0,2.0,0.0,144.0,0.0,127
TTC27,0.0,2.0,0.0,9.0,6.0,0.0,0.0,0.0,2.0,121.0,16.0,0.0,0.0,58.0,10.0,0.0,6.0,0.0,0.0,218.0,0.0,180
TTC28,0.0,2.0,0.0,0.0,11.0,2.0,1.0,1.0,23.0,163.0,10.0,0.0,0.0,64.0,1.0,0.0,15.0,3.0,0.0,260.0,0.0,173
TTC29,0.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,117.0,13.0,0.0,0.0,41.0,3.0,0.0,3.0,0.0,0.0,191.0,0.0,164
